Grp,Group,ID,Day,Size
1.CTR,1,101,0,41.8
1.CTR,1,101,3,85
1.CTR,1,101,4,114
1.CTR,1,101,5,162.3
1.CTR,1,101,6,178.3
1.CTR,1,101,7,325
1.CTR,1,101,10,623.7
1.CTR,1,101,11,648.4
1.CTR,1,101,12,835.9
1.CTR,1,101,13,1030.4
1.CTR,1,101,14,1141.8
1.CTR,1,101,17,1499.9
1.CTR,1,101,18,1429.3
1.CTR,1,101,19,1609.3
1.CTR,1,101,20,1678.3
1.CTR,1,101,21,1564
1.CTR,1,102,0,79.4
1.CTR,1,102,1,110.3
1.CTR,1,102,4,201.3
1.CTR,1,102,5,255.3
1.CTR,1,102,6,349.1
1.CTR,1,102,7,357.5
1.CTR,1,102,8,670
1.CTR,1,102,11,624.3
1.CTR,1,102,12,640.6
1.CTR,1,102,13,618.8
1.CTR,1,102,14,584.9
1.CTR,1,102,15,809.7
1.CTR,1,102,18,1249.7
1.CTR,1,102,19,1262.2
1.CTR,1,102,20,1336.8
1.CTR,1,102,21,1563.7
1.CTR,1,103,0,44.8
1.CTR,1,103,1,67.5
1.CTR,1,103,2,55.8
1.CTR,1,103,3,82.8
1.CTR,1,103,4,106.8
1.CTR,1,103,7,309.5
1.CTR,1,103,8,355.9
1.CTR,1,103,9,554.8
1.CTR,1,103,10,740.4
1.CTR,1,103,11,1012.1
1.CTR,1,103,14,1948.2
1.CTR,1,103,15,2405.7
1.CTR,1,104,0,67.7
1.CTR,1,104,1,92.4
1.CTR,1,104,2,77.7
1.CTR,1,104,3,107.4
1.CTR,1,104,4,147.1
1.CTR,1,104,7,226.1
1.CTR,1,104,8,285.3
1.CTR,1,104,9,541.5
1.CTR,1,104,10,551.9
1.CTR,1,104,11,609.8
1.CTR,1,104,14,1230.5
1.CTR,1,104,15,1839.6
1.CTR,1,104,16,1964.2
1.CTR,1,105,0,54.7
1.CTR,1,105,3,61.1
1.CTR,1,105,4,75.3
1.CTR,1,105,5,112.5
1.CTR,1,105,6,117.8
1.CTR,1,105,7,164.9
1.CTR,1,105,10,816.2
1.CTR,1,105,11,846.4
1.CTR,1,105,12,1403.6
1.CTR,1,105,13,1699.3
1.CTR,1,105,14,2162.8
1.CTR,1,106,0,60
1.CTR,1,106,1,74.2
1.CTR,1,106,2,98.9
1.CTR,1,106,3,103.3
1.CTR,1,106,4,106.4
1.CTR,1,106,7,166.3
1.CTR,1,106,8,269.2
1.CTR,1,106,9,478.4
1.CTR,1,106,10,356.4
1.CTR,1,106,11,498.8
1.CTR,1,106,14,915.8
1.CTR,1,106,15,1086.6
1.CTR,1,106,16,2125.1
1.CTR,1,107,0,46.8
1.CTR,1,107,4,162.6
1.CTR,1,107,5,264.5
1.CTR,1,107,6,253.1
1.CTR,1,107,7,419.3
1.CTR,1,107,11,1273.5
1.CTR,1,107,12,1712
1.CTR,1,107,13,2342.6
1.CTR,1,108,0,49.4
1.CTR,1,108,4,123.2
1.CTR,1,108,5,286.5
1.CTR,1,108,6,484.9
1.CTR,1,108,7,584.5
1.CTR,1,108,11,1581.9
1.CTR,1,108,12,1930.6
1.CTR,1,108,13,2295.9
2.D,2,201,0,49.1
2.D,2,201,3,65.6
2.D,2,201,4,88.9
2.D,2,201,5,135.4
2.D,2,201,6,171.9
2.D,2,201,7,177.3
2.D,2,201,10,388
2.D,2,201,11,466.7
2.D,2,201,12,557
2.D,2,201,13,455.5
2.D,2,201,14,624.1
2.D,2,201,18,995.2
2.D,2,201,19,1157.6
2.D,2,201,20,1069.7
2.D,2,201,21,1194.4
2.D,2,201,24,1725.8
2.D,2,201,25,1524.9
2.D,2,201,26,1737.7
2.D,2,201,27,1998.3
2.D,2,202,0,60.6
2.D,2,202,1,75.7
2.D,2,202,2,75.8
2.D,2,202,4,158.7
2.D,2,202,7,306.2
2.D,2,202,8,397.4
2.D,2,202,9,398.2
2.D,2,202,10,639.3
2.D,2,202,11,556.4
2.D,2,202,14,815.9
2.D,2,202,15,907.9
2.D,2,202,16,1104.2
2.D,2,202,17,1275
2.D,2,202,18,1290.9
2.D,2,202,22,2046.7
2.D,2,203,0,41.5
2.D,2,203,1,41.8
2.D,2,203,2,43.2
2.D,2,203,3,46
2.D,2,203,4,48.7
2.D,2,203,7,66.5
2.D,2,203,8,82.2
2.D,2,203,9,94.1
2.D,2,203,10,162.7
2.D,2,203,11,169.9
2.D,2,203,14,398.7
2.D,2,203,15,416
2.D,2,203,16,526.7
2.D,2,203,17,716.3
2.D,2,203,18,734.9
2.D,2,203,22,1938.5
2.D,2,204,0,46.8
2.D,2,204,1,46.4
2.D,2,204,2,48.8
2.D,2,204,3,56.7
2.D,2,204,4,113.9
2.D,2,204,7,231.8
2.D,2,204,8,318.3
2.D,2,204,9,413.1
2.D,2,204,10,747.4
2.D,2,204,11,700.4
2.D,2,204,14,1374.8
2.D,2,204,15,1374.1
2.D,2,204,16,1668.4
2.D,2,204,17,1598.4
2.D,2,204,18,1725.1
2.D,2,205,0,39.5
2.D,2,205,3,71.2
2.D,2,205,4,62.4
2.D,2,205,5,84.8
2.D,2,205,6,88.6
2.D,2,205,7,138
2.D,2,205,10,270.3
2.D,2,205,11,310.7
2.D,2,205,12,385.5
2.D,2,205,13,552.5
2.D,2,205,14,468.9
2.D,2,205,17,766.6
2.D,2,205,18,896
2.D,2,205,19,1279
2.D,2,205,20,1582.3
2.D,2,205,21,1701.4
2.D,2,206,0,53.5
2.D,2,206,1,41.2
2.D,2,206,2,52.2
2.D,2,206,3,61.6
2.D,2,206,4,77.1
2.D,2,206,7,102.8
2.D,2,206,8,85.9
2.D,2,206,9,70.3
2.D,2,206,10,105.2
2.D,2,206,11,129.9
2.D,2,206,14,291.3
2.D,2,206,15,315.4
2.D,2,206,16,322.5
2.D,2,206,18,768.1
2.D,2,206,22,1108.6
2.D,2,206,23,1321
2.D,2,206,24,1624.3
2.D,2,206,25,1853.5
2.D,2,207,0,43.5
2.D,2,207,1,50.2
2.D,2,207,2,56.5
2.D,2,207,5,87
2.D,2,207,6,53.5
2.D,2,207,7,38.5
2.D,2,207,8,69.1
2.D,2,207,9,46.3
2.D,2,207,12,66.5
2.D,2,207,13,62.4
2.D,2,207,14,83.6
2.D,2,207,15,102.6
2.D,2,207,16,100.9
2.D,2,207,19,163
2.D,2,207,20,172.4
2.D,2,207,21,162.5
2.D,2,207,23,223.7
2.D,2,207,27,416
2.D,2,207,28,445.2
2.D,2,208,0,64.4
2.D,2,208,1,63.9
2.D,2,208,2,76.3
2.D,2,208,3,85.8
2.D,2,208,4,186.3
2.D,2,208,7,291.9
2.D,2,208,8,381.9
2.D,2,208,9,469.5
2.D,2,208,10,590.2
2.D,2,208,11,782.9
2.D,2,208,14,1182.8
2.D,2,208,15,1194.7
2.D,2,208,16,1407.2
2.D,2,208,17,1677.7
2.D,2,208,18,1784.9
2.D,2,209,0,47.5
2.D,2,209,1,48.6
2.D,2,209,2,75.1
2.D,2,209,3,77.7
2.D,2,209,4,128
2.D,2,209,7,123.5
2.D,2,209,8,167.1
2.D,2,209,9,144.4
2.D,2,209,10,294.6
2.D,2,209,11,318
2.D,2,209,14,580.5
2.D,2,209,15,621.6
2.D,2,209,16,601.6
2.D,2,209,17,1066.5
2.D,2,209,18,981.1
2.D,2,209,21,1380.3
2.D,2,209,22,1507.9
2.D,2,209,23,1767.9
2.D,2,209,25,2269.3
2.D,2,210,0,71.7
2.D,2,210,3,134
2.D,2,210,4,172.2
2.D,2,210,5,247.4
2.D,2,210,6,239.4
2.D,2,210,9,604.9
2.D,2,210,10,538.2
2.D,2,210,11,583.5
2.D,2,210,12,664.8
2.D,2,210,13,743.5
2.D,2,210,16,1054.9
2.D,2,210,17,998.4
2.D,2,210,18,890.1
2.D,2,210,19,1203.9
2.D,2,210,20,1123.9
2.D,2,210,23,1302.3
2.D,2,210,24,1654
2.D,2,210,25,1697.6
2.D,2,210,27,2114.6
3.R,3,301,0,44.1
3.R,3,301,3,104.2
3.R,3,301,4,129.3
3.R,3,301,5,304.9
3.R,3,301,6,533.2
3.R,3,301,7,732.5
3.R,3,301,10,1083.6
3.R,3,301,11,1141.7
3.R,3,301,12,1751.9
3.R,3,301,13,2058.7
3.R,3,302,0,42.1
3.R,3,302,3,98.7
3.R,3,302,4,59.7
3.R,3,302,5,80.2
3.R,3,302,6,87.8
3.R,3,302,7,173.2
3.R,3,302,10,253.1
3.R,3,302,11,287.5
3.R,3,302,12,427.4
3.R,3,302,13,589.5
3.R,3,302,14,525.1
3.R,3,302,17,934.3
3.R,3,302,18,1041.9
3.R,3,302,19,920.7
3.R,3,302,20,1003.3
3.R,3,302,21,920.7
3.R,3,302,25,1584.5
3.R,3,302,26,1734.4
3.R,3,302,27,1760.5
3.R,3,302,28,2362.4
3.R,3,303,0,42.5
3.R,3,303,3,49.8
3.R,3,303,4,58.5
3.R,3,303,5,69.3
3.R,3,303,6,97.4
3.R,3,303,7,133.8
3.R,3,303,10,294.6
3.R,3,303,11,322.7
3.R,3,303,12,324.8
3.R,3,303,13,442.4
3.R,3,303,14,505
3.R,3,303,17,632.7
3.R,3,303,18,594.8
3.R,3,303,19,603.7
3.R,3,303,20,646.5
3.R,3,303,21,649.3
3.R,3,303,25,1044.8
3.R,3,303,26,1219.9
3.R,3,303,27,1316.1
3.R,3,303,28,1714
3.R,3,304,0,56.9
3.R,3,304,3,129.6
3.R,3,304,4,106.2
3.R,3,304,5,120.6
3.R,3,304,6,170.3
3.R,3,304,7,239
3.R,3,304,10,743.9
3.R,3,304,11,697.5
3.R,3,304,12,990.8
3.R,3,304,13,1066.4
3.R,3,304,14,1167.2
3.R,3,304,18,1958.9
3.R,3,305,0,46.7
3.R,3,305,1,50.9
3.R,3,305,2,59.2
3.R,3,305,5,139.8
3.R,3,305,6,159.3
3.R,3,305,7,183.4
3.R,3,305,8,244.4
3.R,3,305,9,328
3.R,3,305,12,368.1
3.R,3,305,13,455.3
3.R,3,305,14,397.6
3.R,3,305,15,519.8
3.R,3,305,16,463.5
3.R,3,305,20,650.5
3.R,3,305,21,979.3
3.R,3,305,22,761.1
3.R,3,305,23,853
3.R,3,305,26,1518.8
3.R,3,305,27,2157.4
3.R,3,306,0,51.2
3.R,3,306,1,88.5
3.R,3,306,2,128.7
3.R,3,306,5,315.7
3.R,3,306,6,326.7
3.R,3,306,7,376.2
3.R,3,306,8,429.3
3.R,3,306,9,723.6
3.R,3,306,12,1051.3
3.R,3,306,13,1177.5
3.R,3,306,14,1297.6
3.R,3,306,15,1254.5
3.R,3,306,16,1426.6
3.R,3,306,20,2159.6
3.R,3,307,0,44
3.R,3,307,3,84.1
3.R,3,307,4,80.1
3.R,3,307,5,66.8
3.R,3,307,6,90
3.R,3,307,7,147.7
3.R,3,307,10,334.2
3.R,3,307,11,476.9
3.R,3,307,12,517.9
3.R,3,307,13,651.8
3.R,3,307,14,616.6
3.R,3,307,17,1108.4
3.R,3,307,18,955.3
3.R,3,307,19,909.4
3.R,3,307,20,1071.8
3.R,3,307,21,988
3.R,3,307,25,1970.2
3.R,3,308,0,59.8
3.R,3,308,4,84
3.R,3,308,5,277.2
3.R,3,308,6,612.4
3.R,3,308,7,712.3
3.R,3,308,11,1055.3
3.R,3,308,12,1268.3
3.R,3,308,13,956.9
3.R,3,308,14,929.9
3.R,3,309,0,40.7
3.R,3,309,3,63.5
3.R,3,309,4,55.9
3.R,3,309,5,89.1
3.R,3,309,6,98.7
3.R,3,309,7,137.7
3.R,3,309,10,303.3
3.R,3,309,11,410.4
3.R,3,309,12,514.4
3.R,3,309,13,565.4
3.R,3,309,14,611.3
3.R,3,309,17,677
3.R,3,309,18,778.9
3.R,3,309,19,656.5
3.R,3,309,20,737.5
3.R,3,309,21,721.4
3.R,3,309,24,902.4
3.R,3,309,25,776.4
3.R,3,309,26,882.6
3.R,3,309,27,865.8
3.R,3,309,28,1065
3.R,3,310,0,58.2
3.R,3,310,1,73.1
3.R,3,310,2,91
3.R,3,310,3,86.9
3.R,3,310,6,375.7
3.R,3,310,7,405
3.R,3,310,8,511
3.R,3,310,9,891.6
3.R,3,310,10,1022.3
3.R,3,310,13,1372.7
3.R,3,310,14,1535.9
3.R,3,310,15,1748.5
3.R,3,310,16,1538.9
3.R,3,310,17,1684.1
3.R,3,310,20,1690.8
3.R,3,310,21,1764.8
3.R,3,310,22,1754
3.R,3,310,23,1964.6
3.R,3,310,24,2188.7
4.D+R,4,401,0,41.3
4.D+R,4,401,1,63.4
4.D+R,4,401,2,102.6
4.D+R,4,401,4,130
4.D+R,4,401,7,286.2
4.D+R,4,401,8,372.3
4.D+R,4,401,9,440
4.D+R,4,401,10,490
4.D+R,4,401,11,511.4
4.D+R,4,401,14,719.9
4.D+R,4,401,15,832.3
4.D+R,4,401,16,822.1
4.D+R,4,401,17,899.5
4.D+R,4,401,18,1096
4.D+R,4,401,23,1577.1
4.D+R,4,401,24,1904.1
4.D+R,4,402,0,53.5
4.D+R,4,402,1,60.9
4.D+R,4,402,4,117
4.D+R,4,402,5,122.7
4.D+R,4,402,6,47.7
4.D+R,4,402,7,114.1
4.D+R,4,403,0,45.8
4.D+R,4,403,1,57.4
4.D+R,4,403,2,46.3
4.D+R,4,403,5,118.3
4.D+R,4,403,6,209
4.D+R,4,403,7,245.5
4.D+R,4,403,8,424.4
4.D+R,4,403,9,389.4
4.D+R,4,403,12,689.8
4.D+R,4,403,13,624.1
4.D+R,4,403,14,731.3
4.D+R,4,403,15,811.3
4.D+R,4,403,16,882.4
4.D+R,4,403,20,898.8
4.D+R,4,403,21,887.2
4.D+R,4,403,22,814.5
4.D+R,4,403,23,779.7
4.D+R,4,403,26,828.9
4.D+R,4,403,27,588.6
4.D+R,4,403,28,543.3
4.D+R,4,404,0,48.2
4.D+R,4,404,1,60.3
4.D+R,4,404,2,59.3
4.D+R,4,404,3,90.6
4.D+R,4,404,4,66.7
4.D+R,4,404,7,149.6
4.D+R,4,404,8,121.1
4.D+R,4,404,9,186
4.D+R,4,404,10,323.6
4.D+R,4,404,11,332.2
4.D+R,4,404,14,609
4.D+R,4,404,15,467.4
4.D+R,4,404,16,548
4.D+R,4,404,18,768.8
4.D+R,4,404,22,802.1
4.D+R,4,404,23,766.2
4.D+R,4,404,24,657.1
4.D+R,4,404,25,619.2
4.D+R,4,404,28,810.7
4.D+R,4,405,0,47.7
4.D+R,4,405,3,98.2
4.D+R,4,405,4,92.8
4.D+R,4,405,5,145.1
4.D+R,4,405,6,167
4.D+R,4,405,7,252.7
4.D+R,4,405,10,479.4
4.D+R,4,405,11,541.1
4.D+R,4,405,12,681.2
4.D+R,4,405,13,527.1
4.D+R,4,405,14,685.7
4.D+R,4,405,17,673.3
4.D+R,4,405,18,833.1
4.D+R,4,405,19,672.7
4.D+R,4,405,20,651.5
4.D+R,4,405,21,785.3
4.D+R,4,405,24,972.4
4.D+R,4,405,25,786.5
4.D+R,4,405,26,976.6
4.D+R,4,405,27,1070.9
4.D+R,4,405,28,1109.9
4.D+R,4,406,0,69.2
4.D+R,4,406,1,69.5
4.D+R,4,406,4,144.8
4.D+R,4,406,5,224.4
4.D+R,4,406,6,319.8
4.D+R,4,406,7,296.1
4.D+R,4,406,8,494.6
4.D+R,4,406,13,1227.7
4.D+R,4,406,14,1144.6
4.D+R,4,406,15,1144.6
4.D+R,4,406,19,1685.4
4.D+R,4,406,20,1827
4.D+R,4,406,22,2343
4.D+R,4,407,0,43.9
4.D+R,4,407,1,58.5
4.D+R,4,407,2,45.6
4.D+R,4,407,4,77.9
4.D+R,4,407,7,224.7
4.D+R,4,407,8,183.7
4.D+R,4,407,9,233.7
4.D+R,4,407,10,289.4
4.D+R,4,407,11,287.9
4.D+R,4,407,14,433.7
4.D+R,4,407,15,402.6
4.D+R,4,407,16,434.9
4.D+R,4,407,17,364.1
4.D+R,4,407,18,551.6
4.D+R,4,407,23,769.1
4.D+R,4,407,24,760.4
4.D+R,4,407,25,760.4
4.D+R,4,408,0,59.3
4.D+R,4,408,1,92.6
4.D+R,4,408,2,92.5
4.D+R,4,408,4,169.3
4.D+R,4,408,7,218.1
4.D+R,4,408,8,257.2
4.D+R,4,408,9,236.2
4.D+R,4,408,10,243.7
4.D+R,4,408,11,229.2
4.D+R,4,408,14,250.1
4.D+R,4,408,15,208.4
4.D+R,4,408,16,222.8
4.D+R,4,408,17,249
4.D+R,4,408,18,338.9
4.D+R,4,408,23,495.5
4.D+R,4,408,24,523.3
4.D+R,4,408,25,523.3
4.D+R,4,409,0,51.1
4.D+R,4,409,3,78
4.D+R,4,409,4,107.4
4.D+R,4,409,5,128
4.D+R,4,409,6,167.3
4.D+R,4,409,7,219.8
4.D+R,4,409,10,375.6
4.D+R,4,409,12,645.9
4.D+R,4,409,13,691.4
4.D+R,4,409,17,1114.2
4.D+R,4,409,18,1050.4
4.D+R,4,409,19,940.6
4.D+R,4,409,20,1057
4.D+R,4,409,21,1107.6
4.D+R,4,409,24,1694.2
4.D+R,4,409,25,1423.6
