Group,Grp,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,1.CTR,101,41.8,NA,NA,85,114,162.3,178.3,325,NA,NA,623.7,648.4,835.9,1030.4,1141.8,NA,NA,1499.9,1429.3,1609.3,1678.3,1564,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,102,79.4,110.3,NA,NA,201.3,255.3,349.1,357.5,670,NA,NA,624.3,640.6,618.8,584.9,809.7,NA,NA,1249.7,1262.2,1336.8,1563.7,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,103,44.8,67.5,55.8,82.8,106.8,NA,NA,309.5,355.9,554.8,740.4,1012.1,NA,NA,1948.2,2405.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,104,67.7,92.4,77.7,107.4,147.1,NA,NA,226.1,285.3,541.5,551.9,609.8,NA,NA,1230.5,1839.6,1964.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,105,54.7,NA,NA,61.1,75.3,112.5,117.8,164.9,NA,NA,816.2,846.4,1403.6,1699.3,2162.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,106,60,74.2,98.9,103.3,106.4,NA,NA,166.3,269.2,478.4,356.4,498.8,NA,NA,915.8,1086.6,2125.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,107,46.8,NA,NA,NA,162.6,264.5,253.1,419.3,NA,NA,NA,1273.5,1712,2342.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,108,49.4,NA,NA,NA,123.2,286.5,484.9,584.5,NA,NA,NA,1581.9,1930.6,2295.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2.D,201,49.1,NA,NA,65.6,88.9,135.4,171.9,177.3,NA,NA,388,466.7,557,455.5,624.1,NA,NA,NA,995.2,1157.6,1069.7,1194.4,NA,NA,1725.8,1524.9,1737.7,1998.3,NA
2,2.D,202,60.6,75.7,75.8,NA,158.7,NA,NA,306.2,397.4,398.2,639.3,556.4,NA,NA,815.9,907.9,1104.2,1275,1290.9,NA,NA,NA,2046.7,NA,NA,NA,NA,NA,NA
2,2.D,203,41.5,41.8,43.2,46,48.7,NA,NA,66.5,82.2,94.1,162.7,169.9,NA,NA,398.7,416,526.7,716.3,734.9,NA,NA,NA,1938.5,NA,NA,NA,NA,NA,NA
2,2.D,204,46.8,46.4,48.8,56.7,113.9,NA,NA,231.8,318.3,413.1,747.4,700.4,NA,NA,1374.8,1374.1,1668.4,1598.4,1725.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2.D,205,39.5,NA,NA,71.2,62.4,84.8,88.6,138,NA,NA,270.3,310.7,385.5,552.5,468.9,NA,NA,766.6,896,1279,1582.3,1701.4,NA,NA,NA,NA,NA,NA,NA
2,2.D,206,53.5,41.2,52.2,61.6,77.1,NA,NA,102.8,85.9,70.3,105.2,129.9,NA,NA,291.3,315.4,322.5,NA,768.1,NA,NA,NA,1108.6,1321,1624.3,1853.5,NA,NA,NA
2,2.D,207,43.5,50.2,56.5,NA,NA,87,53.5,38.5,69.1,46.3,NA,NA,66.5,62.4,83.6,102.6,100.9,NA,NA,163,172.4,162.5,NA,223.7,NA,NA,NA,416,445.2
2,2.D,208,64.4,63.9,76.3,85.8,186.3,NA,NA,291.9,381.9,469.5,590.2,782.9,NA,NA,1182.8,1194.7,1407.2,1677.7,1784.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2.D,209,47.5,48.6,75.1,77.7,128,NA,NA,123.5,167.1,144.4,294.6,318,NA,NA,580.5,621.6,601.6,1066.5,981.1,NA,NA,1380.3,1507.9,1767.9,NA,2269.3,NA,NA,NA
2,2.D,210,71.7,NA,NA,134,172.2,247.4,239.4,NA,NA,604.9,538.2,583.5,664.8,743.5,NA,NA,1054.9,998.4,890.1,1203.9,1123.9,NA,NA,1302.3,1654,1697.6,NA,2114.6,NA
3,3.R,301,44.1,NA,NA,104.2,129.3,304.9,533.2,732.5,NA,NA,1083.6,1141.7,1751.9,2058.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3.R,302,42.1,NA,NA,98.7,59.7,80.2,87.8,173.2,NA,NA,253.1,287.5,427.4,589.5,525.1,NA,NA,934.3,1041.9,920.7,1003.3,920.7,NA,NA,NA,1584.5,1734.4,1760.5,2362.4
3,3.R,303,42.5,NA,NA,49.8,58.5,69.3,97.4,133.8,NA,NA,294.6,322.7,324.8,442.4,505,NA,NA,632.7,594.8,603.7,646.5,649.3,NA,NA,NA,1044.8,1219.9,1316.1,1714
3,3.R,304,56.9,NA,NA,129.6,106.2,120.6,170.3,239,NA,NA,743.9,697.5,990.8,1066.4,1167.2,NA,NA,NA,1958.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3.R,305,46.7,50.9,59.2,NA,NA,139.8,159.3,183.4,244.4,328,NA,NA,368.1,455.3,397.6,519.8,463.5,NA,NA,NA,650.5,979.3,761.1,853,NA,NA,1518.8,2157.4,NA
3,3.R,306,51.2,88.5,128.7,NA,NA,315.7,326.7,376.2,429.3,723.6,NA,NA,1051.3,1177.5,1297.6,1254.5,1426.6,NA,NA,NA,2159.6,NA,NA,NA,NA,NA,NA,NA,NA
3,3.R,307,44,NA,NA,84.1,80.1,66.8,90,147.7,NA,NA,334.2,476.9,517.9,651.8,616.6,NA,NA,1108.4,955.3,909.4,1071.8,988,NA,NA,NA,1970.2,NA,NA,NA
3,3.R,308,59.8,NA,NA,NA,84,277.2,612.4,712.3,NA,NA,NA,1055.3,1268.3,956.9,929.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3.R,309,40.7,NA,NA,63.5,55.9,89.1,98.7,137.7,NA,NA,303.3,410.4,514.4,565.4,611.3,NA,NA,677,778.9,656.5,737.5,721.4,NA,NA,902.4,776.4,882.6,865.8,1065
3,3.R,310,58.2,73.1,91,86.9,NA,NA,375.7,405,511,891.6,1022.3,NA,NA,1372.7,1535.9,1748.5,1538.9,1684.1,NA,NA,1690.8,1764.8,1754,1964.6,2188.7,NA,NA,NA,NA
4,4.D+R,401,41.3,63.4,102.6,NA,130,NA,NA,286.2,372.3,440,490,511.4,NA,NA,719.9,832.3,822.1,899.5,1096,NA,NA,NA,NA,1577.1,1904.1,NA,NA,NA,NA
4,4.D+R,402,53.5,60.9,NA,NA,117,122.7,47.7,114.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4.D+R,403,45.8,57.4,46.3,NA,NA,118.3,209,245.5,424.4,389.4,NA,NA,689.8,624.1,731.3,811.3,882.4,NA,NA,NA,898.8,887.2,814.5,779.7,NA,NA,828.9,588.6,543.3
4,4.D+R,404,48.2,60.3,59.3,90.6,66.7,NA,NA,149.6,121.1,186,323.6,332.2,NA,NA,609,467.4,548,NA,768.8,NA,NA,NA,802.1,766.2,657.1,619.2,NA,NA,810.7
4,4.D+R,405,47.7,NA,NA,98.2,92.8,145.1,167,252.7,NA,NA,479.4,541.1,681.2,527.1,685.7,NA,NA,673.3,833.1,672.7,651.5,785.3,NA,NA,972.4,786.5,976.6,1070.9,1109.9
4,4.D+R,406,69.2,69.5,NA,NA,144.8,224.4,319.8,296.1,494.6,NA,NA,NA,NA,1227.7,1144.6,1144.6,NA,NA,NA,1685.4,1827,NA,2343,NA,NA,NA,NA,NA,NA
4,4.D+R,407,43.9,58.5,45.6,NA,77.9,NA,NA,224.7,183.7,233.7,289.4,287.9,NA,NA,433.7,402.6,434.9,364.1,551.6,NA,NA,NA,NA,769.1,760.4,760.4,NA,NA,NA
4,4.D+R,408,59.3,92.6,92.5,NA,169.3,NA,NA,218.1,257.2,236.2,243.7,229.2,NA,NA,250.1,208.4,222.8,249,338.9,NA,NA,NA,NA,495.5,523.3,523.3,NA,NA,NA
4,4.D+R,409,51.1,NA,NA,78,107.4,128,167.3,219.8,NA,NA,375.6,NA,645.9,691.4,NA,NA,NA,1114.2,1050.4,940.6,1057,1107.6,NA,NA,1694.2,1423.6,NA,NA,NA
